,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
478,Lepidoptera,Butterfly,Nymphalidae,Libythea,Libythea geoffroyi,Libythea geoffroyi ceramensis,,Lepidoptera Butterfly Nymphalidae Libythea geoffroyi ceramensis nan
479,Lepidoptera,Butterfly,Nymphalidae,Libythea,Libythea geoffroyi,Libythea geoffroyi ceramensis,Libythea geoffroyi ceramensis male,Lepidoptera Butterfly Nymphalidae Libythea geoffroyi ceramensis male
488,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros flegyas,Zemeros flegyas phyliscus,Zemeros flegyas phyliscus male,Lepidoptera Butterfly Lycaenidae Zemeros flegyas phyliscus male
489,Lepidoptera,Butterfly,Lycaenidae,Zemeros,Zemeros flegyas,Zemeros flegyas phyliscus,Zemeros flegyas phyliscus female,Lepidoptera Butterfly Lycaenidae Zemeros flegyas phyliscus female
493,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita damajanti,Paralaxita damajanti,Paralaxita damajanti female,Lepidoptera Butterfly Lycaenidae Paralaxita damajanti nan female
494,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita damajanti,Paralaxita damajanti,Paralaxita damajanti male,Lepidoptera Butterfly Lycaenidae Paralaxita damajanti nan male
495,Lepidoptera,Butterfly,Lycaenidae,Paralaxita,Paralaxita orphna,Paralaxita orphna orphna,Paralaxita orphna orphna male,Lepidoptera Butterfly Lycaenidae Paralaxita orphna orphna male
498,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus,Taxila haquinus male,Lepidoptera Butterfly Lycaenidae Taxila haquinus nan male
499,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus agias,Taxila haquinus agias male,Lepidoptera Butterfly Lycaenidae Taxila haquinus agias male
501,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus agias,,Lepidoptera Butterfly Lycaenidae Taxila haquinus agias nan
503,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus agias,Taxila haquinus agias female,Lepidoptera Butterfly Lycaenidae Taxila haquinus agias female
506,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus drupadi,Taxila haquinus drupadi male,Lepidoptera Butterfly Lycaenidae Taxila haquinus drupadi male
510,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus drupadi,,Lepidoptera Butterfly Lycaenidae Taxila haquinus drupadi nan
511,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus drupadi,Taxila haquinus drupadi female,Lepidoptera Butterfly Lycaenidae Taxila haquinus drupadi female
519,Lepidoptera,Butterfly,Nymphalidae,Neptis,Neptis ida,Neptis ida celebensis,,Lepidoptera Butterfly Nymphalidae Neptis ida celebensis nan
