,Order,Butterfly_Moth,Family,Genus,Species,Subspecies,Sex,Name
5595,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber dufresne,Euploea mulciber dufresne male,Lepidoptera Butterfly Nymphalidae Euploea mulciber dufresne male
5598,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea batesii,Euploea batesii resarta,Euploea batesii resarta female,Lepidoptera Butterfly Nymphalidae Euploea batesii resarta female
5603,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis vitrea,Ideopsis vitrea,,Lepidoptera Butterfly Nymphalidae Ideopsis vitrea nan nan
5604,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea euphon,Euploea euphon,,Lepidoptera Butterfly Nymphalidae Euploea euphon nan nan
5605,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea modesta,Euploea modesta lorzae,,Lepidoptera Butterfly Nymphalidae Euploea modesta lorzae nan
5606,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea batesii,Euploea batesii,Euploea batesii male,Lepidoptera Butterfly Nymphalidae Euploea batesii nan male
5608,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea alcathoe,Euploea alcathoe nox,,Lepidoptera Butterfly Nymphalidae Euploea alcathoe nox nan
5610,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri niasica,Euploea crameri niasica male,Lepidoptera Butterfly Nymphalidae Euploea crameri niasica male
5613,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri heylaertsii,,Lepidoptera Butterfly Nymphalidae Euploea crameri heylaertsii nan
5616,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea alcathoe,Euploea alcathoe diadema,,Lepidoptera Butterfly Nymphalidae Euploea alcathoe diadema nan
5617,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eyndhovii,Euploea eyndhovii martina,Euploea eyndhovii martina male,Lepidoptera Butterfly Nymphalidae Euploea eyndhovii martina male
5619,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus mardonia,Euploea tulliolus mardonia male,Lepidoptera Butterfly Nymphalidae Euploea tulliolus mardonia male
5643,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium deucalion,Graphium deucalion deucalion,Graphium deucalion deucalion male,Lepidoptera Butterfly Papilionidae Graphium deucalion deucalion male
5684,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium euphrates,Graphium euphrates ornatus,Graphium euphrates ornatus male,Lepidoptera Butterfly Papilionidae Graphium euphrates ornatus male
5686,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium euphrates,Graphium euphrates domaranus,,Lepidoptera Butterfly Papilionidae Graphium euphrates domaranus nan
5692,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium euphrates,Graphium euphrates domaranus,Graphium euphrates domaranus male,Lepidoptera Butterfly Papilionidae Graphium euphrates domaranus male
5693,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium euphrates,Graphium euphrates euphrates,,Lepidoptera Butterfly Papilionidae Graphium euphrates euphrates nan
5712,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus eurypylus,Graphium eurypylus eurypylus male,Lepidoptera Butterfly Papilionidae Graphium eurypylus eurypylus male
5760,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea dehaanii,Euploea dehaanii,,Lepidoptera Butterfly Nymphalidae Euploea dehaanii nan nan
5765,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus ismare,Danaus ismare,Danaus ismare male,Lepidoptera Butterfly Nymphalidae Danaus ismare nan male
5767,Lepidoptera,Butterfly,Nymphalidae,Idea,Idea stolli,Idea stolli stolli,,Lepidoptera Butterfly Nymphalidae Idea stolli stolli nan
5773,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon,,Lepidoptera Butterfly Papilionidae Papilio memnon nan nan
5783,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon anceus,Papilio memnon anceus male,Lepidoptera Butterfly Papilionidae Papilio memnon anceus male
5828,Lepidoptera,Butterfly,Nymphalidae,Lexias,Lexias aeropa,Lexias aeropa aeropa,Lexias aeropa aeropa female,Lepidoptera Butterfly Nymphalidae Lexias aeropa aeropa female
5834,Lepidoptera,Butterfly,Nymphalidae,Prothoe,Prothoe ribbei,Prothoe ribbei ribbei,,Lepidoptera Butterfly Nymphalidae Prothoe ribbei ribbei nan
5838,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea crameri,Euploea crameri niasica,,Lepidoptera Butterfly Nymphalidae Euploea crameri niasica nan
5842,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea wallacei,Euploea wallacei,,Lepidoptera Butterfly Nymphalidae Euploea wallacei nan nan
5853,Lepidoptera,Butterfly,Nymphalidae,Ideopsis,Ideopsis gaura,Ideopsis gaura costalis,Ideopsis gaura costalis female,Lepidoptera Butterfly Nymphalidae Ideopsis gaura costalis female
5873,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus haquinus,,Lepidoptera Butterfly Lycaenidae Taxila haquinus haquinus nan
5913,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium wallacei,Graphium wallacei rubrosignatus,Graphium wallacei rubrosignatus male,Lepidoptera Butterfly Papilionidae Graphium wallacei rubrosignatus male
5917,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium wallacei,Graphium wallacei rubrosignatus,Graphium wallacei rubrosignatus female,Lepidoptera Butterfly Papilionidae Graphium wallacei rubrosignatus female
5921,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium wallacei,Graphium wallacei wallacei,Graphium wallacei wallacei female,Lepidoptera Butterfly Papilionidae Graphium wallacei wallacei female
5925,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium wallacei,Graphium wallacei wallacei,Graphium wallacei wallacei male,Lepidoptera Butterfly Papilionidae Graphium wallacei wallacei male
5941,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium deucalion,Graphium deucalion deucalion,,Lepidoptera Butterfly Papilionidae Graphium deucalion deucalion nan
5942,Lepidoptera,Butterfly,Papilionidae,Cressida,Cressida cressida,Cressida cressida insularis,,Lepidoptera Butterfly Papilionidae Cressida cressida insularis nan
5947,Lepidoptera,Butterfly,Papilionidae,Cressida,Cressida cressida,Cressida cressida insularis,Cressida cressida insularis female,Lepidoptera Butterfly Papilionidae Cressida cressida insularis female
5948,Lepidoptera,Butterfly,Papilionidae,Cressida,Cressida cressida,Cressida cressida insularis,Cressida cressida insularis male,Lepidoptera Butterfly Papilionidae Cressida cressida insularis male
5960,Lepidoptera,Butterfly,Papilionidae,Cressida,Cressida cressida,Cressida cressida kuehni,,Lepidoptera Butterfly Papilionidae Cressida cressida kuehni nan
5964,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium deucalion,Graphium deucalion leucadion,Graphium deucalion leucadion male,Lepidoptera Butterfly Papilionidae Graphium deucalion leucadion male
5981,Lepidoptera,Butterfly,Papilionidae,Cressida,Cressida cressida,Cressida cressida troilus,,Lepidoptera Butterfly Papilionidae Cressida cressida troilus nan
5984,Lepidoptera,Butterfly,Papilionidae,Atrophaneura,Atrophaneura semperi,Atrophaneura semperi supernotatus,Atrophaneura semperi supernotatus male,Lepidoptera Butterfly Papilionidae Atrophaneura semperi supernotatus male
5985,Lepidoptera,Butterfly,Papilionidae,Atrophaneura,Atrophaneura semperi,Atrophaneura semperi supernotatus,,Lepidoptera Butterfly Papilionidae Atrophaneura semperi supernotatus nan
5989,Lepidoptera,Butterfly,Papilionidae,Atrophaneura,Atrophaneura semperi,Atrophaneura semperi supernotatus,Atrophaneura semperi supernotatus female,Lepidoptera Butterfly Papilionidae Atrophaneura semperi supernotatus female
5996,Lepidoptera,Butterfly,Papilionidae,Lamproptera,Lamproptera meges,Lamproptera meges virescens,Lamproptera meges virescens male,Lepidoptera Butterfly Papilionidae Lamproptera meges virescens male
6007,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus haquinus,Taxila haquinus haquinus male,Lepidoptera Butterfly Lycaenidae Taxila haquinus haquinus male
6011,Lepidoptera,Butterfly,Lycaenidae,Taxila,Taxila haquinus,Taxila haquinus haquinus,Taxila haquinus haquinus female,Lepidoptera Butterfly Lycaenidae Taxila haquinus haquinus female
6018,Lepidoptera,Butterfly,Nymphalidae,Tellervo,Tellervo zoilus,Tellervo zoilus hiempsal,Tellervo zoilus hiempsal male,Lepidoptera Butterfly Nymphalidae Tellervo zoilus hiempsal male
6027,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura dilectisssima,Dicallaneura dilectisssima,Dicallaneura dilectisssima male,Lepidoptera Butterfly Lycaenidae Dicallaneura dilectisssima nan male
6028,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura dilectisssima,Dicallaneura dilectisssima,Dicallaneura dilectisssima female,Lepidoptera Butterfly Lycaenidae Dicallaneura dilectisssima nan female
6029,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura cyanea,Dicallaneura cyanea cyanea,Dicallaneura cyanea cyanea male,Lepidoptera Butterfly Lycaenidae Dicallaneura cyanea cyanea male
6030,Lepidoptera,Butterfly,Lycaenidae,Dicallaneura,Dicallaneura hyacinthus,Dicallaneura hyacinthus hyacinthus,Dicallaneura hyacinthus hyacinthus female,Lepidoptera Butterfly Lycaenidae Dicallaneura hyacinthus hyacinthus female
6031,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium doson,Graphium doson axionides,,Lepidoptera Butterfly Papilionidae Graphium doson axionides nan
6036,Lepidoptera,Butterfly,Papilionidae,Losaria,Losaria coon,Losaria coon coon,,Lepidoptera Butterfly Papilionidae Losaria coon coon nan
6038,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus melampus,,Lepidoptera Butterfly Papilionidae Graphium eurypylus melampus nan
6039,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium doson,Graphium doson nauta,,Lepidoptera Butterfly Papilionidae Graphium doson nauta nan
6044,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon lasius,Graphium agamemnon lasius male,Lepidoptera Butterfly Papilionidae Graphium agamemnon lasius male
6046,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon lasius,,Lepidoptera Butterfly Papilionidae Graphium agamemnon lasius nan
6049,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium macfarlanei,Graphium macfarlanei,Graphium macfarlanei male,Lepidoptera Butterfly Papilionidae Graphium macfarlanei nan male
6050,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium macfarlanei,Graphium macfarlanei cestius,,Lepidoptera Butterfly Papilionidae Graphium macfarlanei cestius nan
6062,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium macfarlanei,Graphium macfarlanei,Graphium macfarlanei female,Lepidoptera Butterfly Papilionidae Graphium macfarlanei nan female
6066,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium macfarlanei,Graphium macfarlanei,,Lepidoptera Butterfly Papilionidae Graphium macfarlanei nan nan
6075,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium anthedon,Graphium anthedon,,Lepidoptera Butterfly Papilionidae Graphium anthedon nan nan
6081,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium stratiotes,Graphium stratiotes,,Lepidoptera Butterfly Papilionidae Graphium stratiotes nan nan
6083,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium stratiotes,Graphium stratiotes,Graphium stratiotes male,Lepidoptera Butterfly Papilionidae Graphium stratiotes nan male
6084,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea mulciber,Euploea mulciber verhuelli,Euploea mulciber verhuelli male,Lepidoptera Butterfly Nymphalidae Euploea mulciber verhuelli male
6089,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea climena,Euploea climena palmedo,Euploea climena palmedo female,Lepidoptera Butterfly Nymphalidae Euploea climena palmedo female
6094,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea stephensii,Euploea stephensii,Euploea stephensii male,Lepidoptera Butterfly Nymphalidae Euploea stephensii nan male
6097,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea radamanthus,Euploea radamanthus,Euploea radamanthus female,Lepidoptera Butterfly Nymphalidae Euploea radamanthus nan female
6102,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea wallacei,Euploea wallacei wallacei,,Lepidoptera Butterfly Nymphalidae Euploea wallacei wallacei nan
6112,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus affinis,Danaus affinis artenice,,Lepidoptera Butterfly Nymphalidae Danaus affinis artenice nan
6115,Lepidoptera,Butterfly,Nymphalidae,Danaus,Danaus melanippus,Danaus melanippus melanippus,,Lepidoptera Butterfly Nymphalidae Danaus melanippus melanippus nan
6116,Lepidoptera,Butterfly,Nymphalidae,Tirumala,Tirumala hamata,Tirumala hamata,Tirumala hamata male,Lepidoptera Butterfly Nymphalidae Tirumala hamata nan male
6134,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon comodus,,Lepidoptera Butterfly Papilionidae Graphium agamemnon comodus nan
6166,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon comodus,Graphium agamemnon comodus female,Lepidoptera Butterfly Papilionidae Graphium agamemnon comodus female
6181,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon comodus,Graphium agamemnon comodus male,Lepidoptera Butterfly Papilionidae Graphium agamemnon comodus male
6201,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon lycianus,Graphium sarpedon lycianus male,Lepidoptera Butterfly Papilionidae Graphium sarpedon lycianus male
6248,Lepidoptera,Butterfly,Papilionidae,Ornithoptera,Ornithoptera priamus,Ornithoptera priamus hecuba,Ornithoptera priamus hecuba female,Lepidoptera Butterfly Papilionidae Ornithoptera priamus hecuba female
6255,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio albinus,Papilio albinus albinus,,Lepidoptera Butterfly Papilionidae Papilio albinus albinus nan
6288,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea eleusina,Euploea eleusina eleusina,,Lepidoptera Butterfly Nymphalidae Euploea eleusina eleusina nan
6305,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea boisduvali,Euploea boisduvali,,Lepidoptera Butterfly Nymphalidae Euploea boisduvali nan nan
6317,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus koxinga,Euploea tulliolus koxinga male,Lepidoptera Butterfly Nymphalidae Euploea tulliolus koxinga male
6318,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea tulliolus,Euploea tulliolus koxinga,Euploea tulliolus koxinga female,Lepidoptera Butterfly Nymphalidae Euploea tulliolus koxinga female
6320,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea sylvester,Euploea sylvester payeni,Euploea sylvester payeni male,Lepidoptera Butterfly Nymphalidae Euploea sylvester payeni male
6323,Lepidoptera,Butterfly,Nymphalidae,Euploea,Euploea alcathoe,Euploea alcathoe pierretii,Euploea alcathoe pierretii male,Lepidoptera Butterfly Nymphalidae Euploea alcathoe pierretii male
6325,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon anceus,,Lepidoptera Butterfly Papilionidae Papilio memnon anceus nan
6340,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio memnon,Papilio memnon anceus,Papilio memnon anceus female,Lepidoptera Butterfly Papilionidae Papilio memnon anceus female
6341,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium evemon,Graphium evemon evemon,,Lepidoptera Butterfly Papilionidae Graphium evemon evemon nan
6343,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium agamemnon,Graphium agamemnon lasius,Graphium agamemnon lasius female,Lepidoptera Butterfly Papilionidae Graphium agamemnon lasius female
6344,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium evemon,Graphium evemon igneolus,,Lepidoptera Butterfly Papilionidae Graphium evemon igneolus nan
6345,Lepidoptera,Butterfly,Papilionidae,Atrophaneura,Atrophaneura semperi,Atrophaneura semperi semperi,Atrophaneura semperi semperi male,Lepidoptera Butterfly Papilionidae Atrophaneura semperi semperi male
6346,Lepidoptera,Butterfly,Papilionidae,Atrophaneura,Atrophaneura semperi,Atrophaneura semperi semperi,,Lepidoptera Butterfly Papilionidae Atrophaneura semperi semperi nan
6364,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio polytes,Papilio polytes,,Lepidoptera Butterfly Papilionidae Papilio polytes nan nan
6365,Lepidoptera,Butterfly,Papilionidae,Papilio,Papilio polytes,Papilio polytes,Papilio polytes female,Lepidoptera Butterfly Papilionidae Papilio polytes nan female
6372,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium doson,Graphium doson axionides,Graphium doson axionides male,Lepidoptera Butterfly Papilionidae Graphium doson axionides male
6373,Lepidoptera,Butterfly,Papilionidae,Troides,Troides haliphron,Troides haliphron naias,,Lepidoptera Butterfly Papilionidae Troides haliphron naias nan
6388,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus gordion,,Lepidoptera Butterfly Papilionidae Graphium eurypylus gordion nan
6394,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus mecisteus,,Lepidoptera Butterfly Papilionidae Graphium eurypylus mecisteus nan
6398,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium evemon,Graphium evemon evemon,Graphium evemon evemon male,Lepidoptera Butterfly Papilionidae Graphium evemon evemon male
6414,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium eurypylus,Graphium eurypylus gordion,Graphium eurypylus gordion male,Lepidoptera Butterfly Papilionidae Graphium eurypylus gordion male
6419,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon messogis,,Lepidoptera Butterfly Papilionidae Graphium sarpedon messogis nan
6420,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon messogis,Graphium sarpedon messogis female,Lepidoptera Butterfly Papilionidae Graphium sarpedon messogis female
6424,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium sarpedon,Graphium sarpedon messogis,Graphium sarpedon messogis male,Lepidoptera Butterfly Papilionidae Graphium sarpedon messogis male
6427,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium rhesus,Graphium rhesus rhesus,,Lepidoptera Butterfly Papilionidae Graphium rhesus rhesus nan
6455,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium anthedon,Graphium anthedon dodingensis,,Lepidoptera Butterfly Papilionidae Graphium anthedon dodingensis nan
6458,Lepidoptera,Butterfly,Papilionidae,Graphium,Graphium anthedon,Graphium anthedon dodingensis,Graphium anthedon dodingensis male,Lepidoptera Butterfly Papilionidae Graphium anthedon dodingensis male
